iter	Passed	Remaining
0	0	820
1	1	710
2	1	657
3	2	627
4	3	613
5	3	603
6	4	592
7	4	587
8	5	645
9	6	645
10	7	638
11	7	632
12	8	626
13	8	620
14	9	614
15	9	611
16	10	606
17	11	602
18	11	604
19	12	604
20	12	605
21	13	605
22	14	608
23	14	607
24	15	605
25	16	602
26	16	599
27	17	596
28	17	598
29	18	596
30	19	595
31	19	592
32	20	591
33	20	588
34	21	586
35	21	585
36	22	583
37	22	581
38	23	579
39	24	580
40	24	579
41	25	578
42	25	577
43	26	576
44	27	576
45	27	574
46	28	573
47	28	572
48	29	570
49	29	569
50	30	568
51	31	567
52	31	566
53	32	568
54	33	567
55	33	566
56	34	565
57	34	565
58	35	564
59	35	563
60	37	577
61	38	577
62	38	575
63	39	574
64	39	573
65	40	571
66	40	570
67	41	569
68	42	568
69	42	567
70	43	566
71	43	565
72	44	564
73	45	564
74	45	563
75	46	562
76	46	560
77	47	559
78	47	557
79	48	556
80	49	556
81	49	555
82	49	552
83	50	551
84	51	551
85	51	550
86	52	549
87	52	548
88	53	547
89	54	546
90	54	549
91	55	549
92	56	548
93	56	547
94	57	546
95	57	545
96	58	544
97	59	543
98	59	542
99	60	541
100	60	540
101	61	539
102	61	539
103	62	538
104	63	537
105	63	536
106	64	535
107	64	534
108	65	533
109	65	532
110	66	531
111	66	530
112	68	537
113	69	537
114	69	537
115	70	536
116	70	534
117	71	533
118	72	533
119	72	532
120	73	531
121	73	530
122	74	530
123	75	530
124	75	529
125	76	528
126	76	527
127	77	525
128	77	524
129	78	523
130	78	522
131	79	520
132	79	520
133	80	519
134	80	518
135	81	517
136	81	516
137	82	515
138	83	514
139	83	513
140	84	512
141	84	510
142	84	508
143	85	507
144	86	507
145	86	506
146	87	505
147	87	504
148	88	503
149	88	502
150	89	501
151	89	500
152	90	499
153	90	498
154	91	497
155	91	496
156	92	497
157	93	496
158	93	496
159	94	495
160	94	493
161	95	492
162	95	491
163	96	490
164	96	489
165	97	488
166	97	487
167	98	486
168	98	486
169	99	485
170	100	485
171	100	484
172	101	483
173	101	482
174	102	481
175	102	480
176	103	479
177	103	478
178	104	477
179	104	477
180	105	476
181	105	475
182	106	475
183	107	474
184	107	473
185	107	472
186	108	471
187	109	470
188	109	469
189	110	468
190	110	468
191	111	467
192	111	467
193	112	469
194	113	468
195	114	467
196	114	466
197	115	465
198	115	465
199	116	464
200	116	463
201	117	463
202	117	462
203	118	462
204	118	461
205	119	460
206	119	459
207	120	458
208	121	458
209	121	457
210	122	456
211	122	455
212	124	459
213	124	458
214	125	457
215	126	458
216	126	457
217	127	457
218	128	457
219	128	456
220	129	456
221	130	456
222	130	455
223	131	455
224	131	454
225	132	453
226	133	453
227	133	452
228	134	451
229	134	450
230	135	449
231	135	449
232	136	448
233	136	447
234	137	447
235	137	446
236	138	445
237	138	444
238	139	443
239	139	442
240	140	442
241	140	441
242	141	440
243	141	439
244	142	439
245	143	438
246	143	437
247	144	436
248	144	436
249	145	435
250	145	434
251	146	433
252	146	432
